city,prov,m,r1,r2
Aba Tibetan and Qiang Autonomous Prefecture,Sichuan,136012,0.385,0.615
Aksu Area,Xinjiang,55788,,
Aral,Xinjiang,19706,,
Alxa League,Inner Mongolia,54561,,
Altay Region,Xinjiang,19424,,
Ngari Area,Tibet,1100,,
Ankang,Shaanxi,274253,,
Anqing,Anhui,794308,,
Anshun,Guizhou,593962,,
Anyang,Henan,651023,,
Anshan,Liaoning,382511,,
Bayannur,Inner Mongolia,87107,,
Bayingolin Mongolian Autonomous Prefecture,Xinjiang,65560,,
Bazhong,Sichuan,460890,,
Baicheng,Jilin,69270,,
Baisha Li Autonomous County,Hainan,34498,,
Baishan,Jilin,28729,,
Baiyin,Gansu,158220,,
Baise,Guangxi,382458,,
Bengbu,Anhui,769725,,
Baotou,Inner Mongolia,178300,,
Baoji,Shaanxi,375991,,
Baoding,Hebei,826761,,
Baoshan,Yunnan,103034,,
Baoting Li and Miao Autonomous County,Hainan,72126,,
Beihai,Guangxi,292176,,
Beijing,Beijing,1263847,,
Beitun,Xinjiang,8937,,
Benxi,Liaoning,115422,,
Bijie,Guizhou,876855,,
Binzhou,Shandong,802885,,
Bozhou,Anhui,919896,,
Bortala Mongolian Autonomous Prefecture,Xinjiang,27363,,
Cangzhou,Hebei,840794,,
Qamdo,Tibet,11469,,
Changji Hui Autonomous Prefecture,Xinjiang,304985,,
Changjiang Li Autonomous County,Hainan,51573,,
Changde,Hunan,756807,,
Changzhou,Jiangsu,1690505,,
Chaoyang,Liaoning,198344,,
Chaozhou,Guangdong,656504,,
Chenzhou,Hunan,650028,,
Chengdu,Sichuan,4410966,,
Chengde,Hebei,191930,,
Chengmai County,Hainan,212398,,
Chizhou,Anhui,429566,,
Chifeng,Inner Mongolia,166082,,
Chongzuo,Guangxi,269786,,
Chuzhou,Anhui,1241278,,
Chuxiong Yi Autonomous Prefecture,Yunnan,260645,,
Dazhou,Sichuan,692720,,
Dali Bai Autonomous Prefecture,Yunnan,275614,,
Dalian,Liaoning,204825,,
Daqing,Heilongjiang,69214,,
Datong,Shanxi,248051,,
Greater Khingan Mountains,Heilongjiang,4043,,
Dandong,Liaoning,105765,,
Danzhou,Hainan,164564,,
Dehong Dai and Jingpo Autonomous Prefecture,Yunnan,52588,,
Deyang,Sichuan,1159765,,
Dezhou,Shandong,996922,,
Diqing Tibetan Autonomous Prefecture,Yunnan,21039,,
Ding'an County,Hainan,97124,,
Dingxi,Gansu,199361,,
Dongfang,Hainan,73405,,
Dongguan,Guangdong,5914855,,
Dongying,Shandong,416116,,
Ordos,Inner Mongolia,258502,,
Ezhou,Hubei,389984,,
Enshi Tujia and Miao Autonomous Prefecture,Hubei,349615,,
Fangchenggang,Guangxi,164786,,
Foshan,Guangdong,5233937,,
Fuzhou,Fujian,726153,,
Fushun,Liaoning,223911,,
Fuzhou,Jiangxi,636552,,
Fuxin,Liaoning,171151,,
Fuyang,Anhui,1119557,,
Gannan Tibetan Autonomous Prefecture,Gansu,25900,,
Ganzi Tibetan Autonomous Prefecture,Sichuan,90871,,
Ganzhou,Jiangxi,868124,,
Guyuan,Ningxia,128973,,
Guang'an,Sichuan,698067,,
Guangyuan,Sichuan,368465,,
Guangzhou,Guangdong,7302848,,
Guigang,Guangxi,763680,,
Guiyang,Guizhou,1517571,,
Guilin,Guangxi,695771,,
Golog Tibetan Autonomous Prefecture,Qinghai,4964,,
Harbin,Heilongjiang,179150,,
Hami,Xinjiang,55559,,
Haibei Tibetan Autonomous Prefecture,Qinghai,18602,,
Haidong,Qinghai,169201,,
Haikou,Hainan,605449,,
Hainan Tibetan Autonomous Prefecture,Qinghai,40942,,
Haixi Mongolian and Tibetan Autonomous Prefecture,Qinghai,43740,,
Handan,Hebei,599388,,
Hanzhong,Shaanxi,254933,,
Hangzhou,Zhejiang,2919739,,
Hefei,Anhui,2191197,,
Hotan Area,Xinjiang,14703,,
Hechi,Guangxi,423962,,
Heyuan,Guangdong,960341,,
Heze,Shandong,1011262,,
Hezhou,Guangxi,356622,,
Hebi,Henan,288506,,
Hegang,Heilongjiang,13142,,
Heihe,Heilongjiang,16630,,
Hengshui,Hebei,405585,,
Hengyang,Hunan,991017,,
Honghe Hani and Yi Autonomous Prefecture,Yunnan,313776,,
Hohhot,Inner Mongolia,253107,,
Hulunbeir,Inner Mongolia,28197,,
Huludao,Liaoning,333604,,
Huzhou,Zhejiang,1032830,,
Huaihua,Hunan,556996,,
Huaian,Jiangsu,1085135,,
Huaibei,Anhui,469286,,
Huainan,Anhui,725096,,
Huanggang,Hubei,1028019,,
Huangnan Tibetan Autonomous Prefecture,Qinghai,11520,,
Huangshan,Anhui,221360,,
Huangshi,Hubei,445622,,
Huizhou,Guangdong,3318836,,
Jixi,Heilongjiang,20672,,
Ji'an,Jiangxi,615312,,
Jilin,Jilin,140313,,
Jinan,Shandong,1938827,,
Jining,Shandong,1095208,,
Jiyuan,Henan,172550,,
Jiamusi,Heilongjiang,43420,,
Jiaxing,Zhejiang,1644539,,
Jiayuguan,Gansu,57693,,
Jiangmen,Guangdong,1700381,,
Jiaozuo,Henan,584768,,
Jieyang,Guangdong,1290632,,
Jinchang,Gansu,51656,,
Jinhua,Zhejiang,1113910,,
Jinzhou,Liaoning,408472,,
Jincheng,Shanxi,162102,,
Jinzhong,Shanxi,604863,,
Jingmen,Hubei,477048,,
Jingzhou,Hubei,819347,,
Jingdezhen,Jiangxi,314861,,
Jiujiang,Jiangxi,780723,,
Jiuquan,Gansu,117347,,
Kashgar Area,Xinjiang,25556,,
Kaifeng,Henan,1068762,,
Kokkhara,Xinjiang,12293,,
Karamay,Xinjiang,40532,,
Kizilsu Kirgiz Autonomous Prefecture,Xinjiang,4319,,
Kunming,Yunnan,1225280,,
Kunyu,Xinjiang,1966,,
Lhasa,Tibet,47868,,
Laibin,Guangxi,459223,,
Lan'zhou,Gansu,385906,,
Langfang,Hebei,1044782,,
Ledong Li Autonomous County,Hainan,118960,,
Leshan,Sichuan,582967,,
Lijiang,Yunnan,112892,,
Lishui,Zhejiang,303551,,
Lianyungang,Jiangsu,839398,,
Liangshan Yi Autonomous Prefecture,Sichuan,249376,,
Liaoyang,Liaoning,263898,,
Liaoyuan,Jilin,50194,,
Liaocheng,Shandong,762867,,
Nyingchi,Tibet,11773,,
Lincang,Yunnan,64870,,
Linfen,Shanxi,364761,,
Lingao County,Hainan,73189,,
Linxia Hui Autonomous Prefecture,Gansu,90968,,
Linyi,Shandong,1363935,,
Lingshui Li Autonomous County,Hainan,234235,,
Liuzhou,Guangxi,617544,,
Lu'an,Anhui,956687,,
Liupanshui,Guizhou,428797,,
Longyan,Fujian,279109,,
Longnan,Gansu,119383,,
Loudi,Hunan,620527,,
Luzhou,Sichuan,664118,,
Luoyang,Henan,843839,,
Luohe,Henan,533891,,
Luliang,Shanxi,384953,,
Ma'anshan,Anhui,607565,,
Maoming,Guangdong,1294761,,
Meishan,Sichuan,1196442,,
Meizhou,Guangdong,857044,,
Mianyang,Sichuan,958646,,
Mudanjiang,Heilongjiang,33946,,
Nagqu,Tibet,7153,,
Nanchang,Jiangxi,1148993,,
Nanchong,Sichuan,1113000,,
Nanjing,Jiangsu,2187785,,
Nanning,Guangxi,1238844,,
Nanping,Fujian,293790,,
Nantong,Jiangsu,1175344,,
Nanyang,Henan,918173,,
Neijiang,Sichuan,791500,,
Ningbo,Zhejiang,1244846,,
Ningde,Fujian,362903,,
Nujiang Lisu Autonomous Prefecture,Yunnan,18535,,
Panzhihua,Sichuan,114349,,
Panjin,Liaoning,285393,,
Pingdingshan,Henan,759623,,
Pingliang,Gansu,166902,,
Pingxiang,Jiangxi,256883,,
Putian,Fujian,398808,,
Puyang,Henan,507887,,
Pu'er,Yunnan,117554,,
Qitaihe,Heilongjiang,17199,,
Qiqihar,Heilongjiang,64379,,
Qianjiang,Hubei,193854,,
Qiandongnan Miao and Dong Autonomous Prefecture,Guizhou,504713,,
Qiannan Buyi and Miao Autonomous Prefecture,Guizhou,912069,,
Qianxinan Buyi and Miao Autonomous Prefecture,Guizhou,326836,,
Qinzhou,Guangxi,505421,,
Qinhuangdao,Hebei,295281,,
Qingdao,Shandong,1071856,,
Qingyuan,Guangdong,1535401,,
Qingyang,Gansu,109469,,
Qionghai,Hainan,156574,,
Qiongzhong Li and Miao Autonomous County,Hainan,54628,,
Qujing,Yunnan,612779,,
Quzhou,Zhejiang,546593,,
Quanzhou,Fujian,1002977,,
Shigatse,Tibet,8699,,
Rizhao,Shandong,541259,,
Sanmenxia,Henan,317809,,
Sanming,Fujian,329319,,
Sanya,Hainan,413761,,
Xiamen,Fujian,1058136,,
Shannan,Tibet,18080,,
Shantou,Guangdong,1099839,,
Shanwei,Guangdong,648209,,
Shangluo,Shaanxi,245691,,
Shangqiu,Henan,1164699,,
Shanghai,Shanghai,2650942,,
Shangrao,Jiangxi,870363,,
Shaoguan,Guangdong,799303,,
Shaoyang,Hunan,831849,,
Shaoxing,Zhejiang,1359492,,
Shenzhen,Guangdong,5409365,,
Shennongjia Forest Area,Hubei,13242,,
Shenyang,Liaoning,1046407,,
Shiyan,Hubei,256843,,
Shihezi,Xinjiang,76620,,
Shijiazhuang,Hebei,437802,,
Shizuishan,Ningxia,153848,,
Shuanghe,Xinjiang,10566,,
Shuangyashan,Heilongjiang,22275,,
Shuozhou,Shanxi,201027,,
Siping,Jilin,146493,,
Songyuan,Jilin,144068,,
Suzhou,Jiangsu,3598536,,
Suqian,Jiangsu,1000857,,
Suzhou,Anhui,1159902,,
Suihua,Heilongjiang,72100,,
Suizhou,Hubei,335601,,
Suining,Sichuan,741413,,
Tacheng Area,Xinjiang,85013,,
Taizhou,Zhejiang,770323,,
Taiyuan,Shanxi,787249,,
Tai'an,Shandong,857117,,
Taizhou,Jiangsu,1193609,,
Tangshan,Hebei,651383,,
Tianjin,Tianjin,1286602,,
Tianmen,Hubei,243623,,
Tianshui,Gansu,160465,,
Tieling,Liaoning,279024,,
Tiemenguan,Xinjiang,9841,,
Tonghua,Jilin,48156,,
Tongliao,Inner Mongolia,133200,,
Tongchuan,Shaanxi,176675,,
Tongling,Anhui,383530,,
Tongren,Guizhou,522441,,
Tumusuk,Xinjiang,4473,,
Turpan,Xinjiang,44342,,
Tunchang County,Hainan,56283,,
Wanning,Hainan,161756,,
Weihai,Shandong,218808,,
Weifang,Shandong,1156236,,
Weinan,Shaanxi,695077,,
Wenzhou,Zhejiang,729134,,
Wenchang,Hainan,139329,,
Wenshan Zhuang and Miao Autonomous Prefecture,Yunnan,180012,,
Wuhai,Inner Mongolia,80012,,
Wulanchabu,Inner Mongolia,179674,,
Urumqi,Xinjiang,389640,,
Wuxi,Jiangsu,2469873,,
Wuhu,Anhui,761233,,
Wuzhong,Ningxia,282386,,
Wuzhou,Guangxi,604627,,
Wujiaqu,Xinjiang,61019,,
Wuzhishan,Hainan,46060,,
Wuhan,Hubei,2227436,,
Wuwei,Gansu,119584,,
Xi'an,Shaanxi,2698187,,
Xining,Qinghai,227111,,
Xishuangbanna Dai Autonomous Prefecture,Yunnan,83622,,
Xilin Gol League,Inner Mongolia,63423,,
Xiantao,Hubei,359229,,
Xianning,Hubei,456504,,
Xianyang,Shaanxi,1788447,,
Xiangtan,Hunan,923631,,
Xiangxi Tujia and Miao Autonomous Prefecture,Hunan,409972,,
Xiangyang,Hubei,575379,,
Xiaogan,Hubei,885276,,
Xinzhou,Shanxi,298233,,
Xinxiang,Henan,985790,,
Xinyu,Jiangxi,214379,,
Xinyang,Henan,834012,,
Xingtai,Hebei,411637,,
Xing'an League,Inner Mongolia,50994,,
Xuzhou,Jiangsu,1335644,,
Xuchang,Henan,861913,,
Xuancheng,Anhui,501765,,
Ya'an,Sichuan,360552,,
Yantai,Shandong,548906,,
Yan'an,Shaanxi,212066,,
Yanbian Korean Autonomous Prefecture,Jilin,31749,,
Yancheng,Jiangsu,1163387,,
Yangzhou,Jiangsu,1047598,,
Yangjiang,Guangdong,828061,,
Yangquan,Shanxi,126901,,
Yichun,Heilongjiang,12180,,
Ili Kazakh Autonomous Prefecture,Xinjiang,72821,,
Yibin,Sichuan,627988,,
Yichang,Hubei,450993,,
Yichun,Jiangxi,864172,,
Yiyang,Hunan,765310,,
Yinchuan,Ningxia,397889,,
Yingtan,Jiangxi,235796,,
Yingkou,Liaoning,241477,,
Yongzhou,Hunan,721081,,
Yulin,Shaanxi,303720,,
Yulin,Guangxi,806407,,
Yushu Tibetan Autonomous Prefecture,Qinghai,4508,,
Yuxi,Yunnan,369254,,
Yueyang,Hunan,874174,,
Yunfu,Guangdong,829423,,
Yuncheng,Shanxi,358786,,
Zaozhuang,Shandong,564070,,
Zhangjiang,Guangdong,1119191,,
Zhangjiajie,Hunan,208693,,
Zhangjiakou,Hebei,245966,,
Zhangye,Gansu,77992,,
Zhangzhou,Fujian,780977,,
Changchun,Jilin,385304,,
Changsha,Hunan,2474384,,
Changzhi,Shanxi,265487,,
Zhaotong,Yunnan,421216,,
Zhaoqing,Guangdong,1417629,,
Zhenjiang,Jiangsu,1046897,,
Zhengzhou,Henan,2801698,,
Zhongshan,Guangdong,2194118,,
Zhongwei,Ningxia,186797,,
Chongqing,Chongqing,2175476,,
Zhoushan,Zhejiang,196728,,
Zhoukou,Henan,1405445,,
Zhuhai,Guangdong,1164414,,
Zhuzhou,Hunan,889007,,
Zhumadian,Henan,978924,,
Ziyang,Sichuan,812587,,
Zibo,Shandong,813469,,
Zigong,Sichuan,640688,,
Zunyi,Guizhou,891682,,
