city,prov,m
Aba Tibetan and Qiang Autonomous Prefecture,Sichuan,188338
Aksu Area,Xinjiang,95457
Aral,Xinjiang,31285
Alxa League,Inner Mongolia,56999
Altay Region,Xinjiang,37871
Ngari Area,Tibet,978
Ankang,Shaanxi,382291
Anqing,Anhui,1386818
Anshun,Guizhou,704421
Anyang,Henan,228979
Anshan,Liaoning,503604
Bayannur,Inner Mongolia,113238
Bayingolin Mongolian Autonomous Prefecture,Xinjiang,104204
Bazhong,Sichuan,743752
Baicheng,Jilin,169701
Baisha Li Autonomous County,Hainan,37973
Baishan,Jilin,78614
Baiyin,Gansu,212324
Baise,Guangxi,484528
Bengbu,Anhui,1252179
Baotou,Inner Mongolia,221796
Baoji,Shaanxi,372393
Baoding,Hebei,1215438
Baoshan,Yunnan,107919
Baoting Li and Miao Autonomous County,Hainan,97533
Beihai,Guangxi,300290
Beijing,Beijing,1548311
Beitun,Xinjiang,17776
Benxi,Liaoning,147502
Bijie,Guizhou,1299728
Binzhou,Shandong,957665
Bozhou,Anhui,1500022
Bortala Mongolian Autonomous Prefecture,Xinjiang,36435
Cangzhou,Hebei,1119414
Qamdo,Tibet,19461
Changji Hui Autonomous Prefecture,Xinjiang,443320
Changjiang Li Autonomous County,Hainan,56589
Changde,Hunan,1218486
Changzhou,Jiangsu,2599345
Chaoyang,Liaoning,273424
Chaozhou,Guangdong,674104
Chenzhou,Hunan,1268485
Chengdu,Sichuan,5466386
Chengde,Hebei,270336
Chengmai County,Hainan,269829
Chizhou,Anhui,704041
Chifeng,Inner Mongolia,276454
Chongzuo,Guangxi,266301
Chuzhou,Anhui,2201637
Chuxiong Yi Autonomous Prefecture,Yunnan,336685
Dazhou,Sichuan,1277555
Dali Bai Autonomous Prefecture,Yunnan,342652
Dalian,Liaoning,255180
Daqing,Heilongjiang,198896
Datong,Shanxi,231254
Greater Khingan Mountains,Heilongjiang,7775
Dandong,Liaoning,122420
Danzhou,Hainan,197746
Dehong Dai and Jingpo Autonomous Prefecture,Yunnan,27880
Deyang,Sichuan,1492967
Dezhou,Shandong,1183832
Diqing Tibetan Autonomous Prefecture,Yunnan,27384
Ding'an County,Hainan,116034
Dingxi,Gansu,286730
Dongfang,Hainan,89950
Dongguan,Guangdong,5797249
Dongying,Shandong,535514
